,bat,date,birthdate,capture.site,sex
643,ss,3/8/16,NA,tole,female
644,ss,3/9/16,NA,tole,female
645,ss,3/30/16,NA,tole,female
646,ss,3/31/16,NA,tole,female
647,ss,4/19/16,NA,tole,female
648,ss,5/10/16,NA,tole,female
642,ss,7/24/17,NA,tole,female
651,sss,6/14/16,2/15/16,captive,female
652,sss,6/15/16,2/15/16,captive,female
653,streblick,11/19/14,6/8/08,zoo,male
654,streblick,11/20/14,6/8/08,zoo,male
655,streblick,1/7/15,6/8/08,zoo,male
656,streblick,1/8/15,6/8/08,zoo,male
659,tes,11/5/16,NA,las.pavas,female
660,tes,11/18/16,NA,las.pavas,female
661,tes,11/19/16,NA,las.pavas,female
662,tes,8/22/17,NA,las.pavas,female
663,thecount,2/6/13,5/1/08,zoo,male
664,thecount,2/7/13,5/1/08,zoo,male
665,thecount,2/18/13,5/1/08,zoo,male
666,thecount,2/19/13,5/1/08,zoo,male
667,thecount,4/19/14,5/1/08,zoo,male
668,thecount,4/23/14,5/1/08,zoo,male
669,thecount,4/24/14,5/1/08,zoo,male
670,thecount,11/21/14,5/1/08,zoo,male
671,thecount,1/8/15,5/1/08,zoo,male
672,thecount,1/9/15,5/1/08,zoo,male
673,tiffany,8/20/19,NA,lake.bayano,female
674,tiffany,8/21/19,NA,lake.bayano,female
675,tiffany,8/27/19,NA,lake.bayano,female
676,tiffany,8/28/19,NA,lake.bayano,female
677,tiffany,9/4/19,NA,lake.bayano,female
678,tiffany,9/5/19,NA,lake.bayano,female
679,tiffany,9/11/19,NA,lake.bayano,female
680,tiffany,9/12/19,NA,lake.bayano,female
681,tiffany,9/18/19,NA,lake.bayano,female
682,tiffany,9/19/19,NA,lake.bayano,female
683,tiffany,9/25/19,NA,lake.bayano,female
684,tiffany,9/26/19,NA,lake.bayano,female
685,tiffany,10/9/19,NA,lake.bayano,female
686,tiffany,10/10/19,NA,lake.bayano,female
687,toast,7/8/19,NA,tole,female
688,una,9/15/16,NA,las.pavas,female
689,una,11/8/16,NA,las.pavas,female
690,una,11/9/16,NA,las.pavas,female
691,una,8/9/17,NA,las.pavas,female
692,vampirella,8/15/11,5/1/08,zoo,female
693,vampirella,8/24/11,5/1/08,zoo,female
694,vampirella,8/25/11,5/1/08,zoo,female
695,vampirella,9/16/11,5/1/08,zoo,female
696,vampirella,9/20/11,5/1/08,zoo,female
697,vampirella,10/28/11,5/1/08,zoo,female
698,vampirella,2/7/13,5/1/08,zoo,female
699,vampirella,2/8/13,5/1/08,zoo,female
700,vampirella,2/23/13,5/1/08,zoo,female
701,vampirella,2/24/13,5/1/08,zoo,female
702,vampirella,3/18/14,5/1/08,zoo,female
703,vampirella,3/19/14,5/1/08,zoo,female
735,vampison,2/27/13,11/21/12,zoo,male
736,vampison,2/28/13,11/21/12,zoo,male
704,veronica,8/18/11,7/15/06,zoo,female
705,veronica,8/19/11,7/15/06,zoo,female
706,veronica,8/22/11,7/15/06,zoo,female
707,veronica,8/23/11,7/15/06,zoo,female
708,veronica,10/7/11,7/15/06,zoo,female
709,veronica,11/16/11,7/15/06,zoo,female
710,veronica,2/14/13,7/15/06,zoo,female
711,veronica,2/15/13,7/15/06,zoo,female
712,veronica,3/1/13,7/15/06,zoo,female
713,veronica,3/17/14,7/15/06,zoo,female
730,vixen,7/29/19,NA,chorrera,female
731,vixen,8/5/19,NA,chorrera,female
714,vixen,8/19/19,NA,chorrera,female
715,vixen,8/20/19,NA,chorrera,female
716,vixen,8/26/19,NA,chorrera,female
717,vixen,8/27/19,NA,chorrera,female
718,vixen,9/3/19,NA,chorrera,female
719,vixen,9/4/19,NA,chorrera,female
720,vixen,9/10/19,NA,chorrera,female
721,vixen,9/11/19,NA,chorrera,female
722,vixen,9/17/19,NA,chorrera,female
723,vixen,9/18/19,NA,chorrera,female
724,vixen,9/24/19,NA,chorrera,female
725,vixen,9/25/19,NA,chorrera,female
726,vixen,10/1/19,NA,chorrera,female
727,vixen,10/2/19,NA,chorrera,female
728,vixen,10/8/19,NA,chorrera,female
729,vixen,10/9/19,NA,chorrera,female
732,vlad,11/21/14,6/1/09,zoo,male
733,vlad,11/22/14,6/1/09,zoo,male
734,vlad,1/19/15,6/1/09,zoo,male
737,whimsey,2/21/13,11/27/11,zoo,male
738,whimsey,2/22/13,11/27/11,zoo,male
739,whimsey,1/10/15,11/27/11,zoo,male
756,winona,8/2/19,NA,chorrera,female
740,winona,8/16/19,NA,chorrera,female
741,winona,8/17/19,NA,chorrera,female
742,winona,8/23/19,NA,chorrera,female
743,winona,8/24/19,NA,chorrera,female
744,winona,8/30/19,NA,chorrera,female
745,winona,8/31/19,NA,chorrera,female
746,winona,9/7/19,NA,chorrera,female
747,winona,9/8/19,NA,chorrera,female
748,winona,9/14/19,NA,chorrera,female
749,winona,9/15/19,NA,chorrera,female
750,winona,9/21/19,NA,chorrera,female
751,winona,9/22/19,NA,chorrera,female
752,winona,9/28/19,NA,chorrera,female
753,winona,9/29/19,NA,chorrera,female
754,winona,10/5/19,NA,chorrera,female
755,winona,10/6/19,NA,chorrera,female
763,zaria,2/12/13,5/30/12,zoo,female
764,zaria,2/19/13,5/30/12,zoo,female
765,zaria,2/20/13,5/30/12,zoo,female
766,zaria,3/15/14,5/30/12,zoo,female
767,zaria,3/16/14,5/30/12,zoo,female
768,zaria,4/7/14,5/30/12,zoo,female
769,zaria,4/8/14,5/30/12,zoo,female
770,zaria,4/29/14,5/30/12,zoo,female
771,zaria,4/30/14,5/30/12,zoo,female
782,zarison,4/10/14,9/26/13,zoo,male
783,zarison,11/18/14,9/26/13,zoo,male
784,zarison,11/19/14,9/26/13,zoo,male
785,zarison,1/16/15,9/26/13,zoo,male
780,zelda,7/10/19,NA,chorrera,female
781,zelda,8/10/19,NA,chorrera,female
772,zelda,8/15/19,NA,chorrera,female
773,zelda,8/16/19,NA,chorrera,female
774,zelda,8/22/19,NA,chorrera,female
775,zelda,8/23/19,NA,chorrera,female
776,zelda,8/29/19,NA,chorrera,female
777,zelda,8/30/19,NA,chorrera,female
778,zelda,9/6/19,NA,chorrera,female
779,zelda,9/7/19,NA,chorrera,female
